sma_fast,sma_slow,sma_trend,sl_pct,tp_pct,position_size,trailing_stop_pct,total_return
22,100,300,8,20,0.06619225123472622,9.263890094699116,225.5412017675289
18,100,300,8,15,0.06619225123472622,9.263890094699116,224.21988677840864
22,100,300,10,25,0.06619225123472622,9.263890094699116,224.14922984980677
22,100,300,9,25,0.06619225123472622,9.263890094699116,224.14922984980677
24,100,300,10,15,0.06619225123472622,9.263890094699116,223.30907001471428
24,100,300,9,15,0.06619225123472622,9.263890094699116,223.30907001471428
22,90,300,8,25,0.06619225123472622,9.263890094699116,221.59723054894596
24,100,300,8,15,0.06619225123472622,9.263890094699116,221.2598399364228
18,100,300,9,25,0.06619225123472622,9.263890094699116,219.10075149874268
18,100,300,10,25,0.06619225123472622,9.263890094699116,219.10075149874268
22,100,300,8,25,0.06619225123472622,9.263890094699116,218.91615450442117
18,100,300,10,20,0.06619225123472622,9.263890094699116,217.5175559920728
